,player,team,opp,fantasy_points_x,variance,Salary,ratio
114,Cecil_Shorts,HOU,NE,11.2754514091,1.66348562502,5600,0.00201347346591
115,Jerome_Simpson,SF,CLE,6.40130820915e-11,4.47177006155e-10,4500,1.42251293537e-14
116,Devin_Smith,NYJ,TEN,3.66976999777,0.937527561676,4900,0.000748932652606
117,Torrey_Smith,SF,CLE,8.66495694758,3.05498056989,6100,0.0014204847455
118,Willie_Snead,NO,TB,13.2220504854,1.41506853752,5700,0.00231965797989
119,Kenny_Stills,MIA,NYG,8.0626212557,2.08915882157,5000,0.00161252425114
120,Devin_Street,DAL,GB,1.42987802847,1.51902299739,4900,0.000291811842545
121,Jaelen_Strong,HOU,NE,0.552509803619,0.26062129036,4600,0.000120110826874
122,Brandon_Tate,CIN,PIT,0.305691636388,0.149595294659,4700,6.50407736996e-05
123,Golden_Tate,DET,STL,8.00543542229,1.77630990959,6400,0.00125084928473
124,Demaryius_Thomas,DEN,OAK,10.9589551514,1.60925839416,7700,0.00142324092875
125,Kenbrell_Thompkins,NYJ,TEN,1.86370816069,1.16234588901,4600,0.000405153947976
126,Bryan_Walters,JAC,IND,7.63438649382,1.99491685762,4900,0.00155803805996
127,Nate_Washington,HOU,NE,4.40702817571,2.3626750842,5200,0.000847505418406
128,Sammy_Watkins,BUF,PHI,14.8860853886,4.06364833757,7200,0.00206751185953
129,Wes_Welker,STL,DET,3.05054869464,0.791790207669,4900,0.00062256095809
130,Griff_Whalen,IND,JAC,7.09642822436,2.71817839506,4500,0.00157698404986
131,Markus_Wheaton,PIT,CIN,2.3614365305,4.24785509367,6100,0.000387120742705
132,Roddy_White,ATL,CAR,5.02771087148,2.59981214628,5500,0.00091412924936
133,Lucky_Whitehead,DAL,GB,1.3282102151,0.852056934634,4500,0.000295157825578
134,Nick_Williams,ATL,CAR,1.12093486969,2.13120725278,4500,0.000249096637709
135,Terrance_Williams,DAL,GB,6.38497540435,3.20674556069,5700,0.00112017112357
136,Albert_Wilson,KC,SD,7.60701812429,1.19732842976,4800,0.00158479544256
137,Marquess_Wilson,CHI,WAS,8.41901336921,4.8600139933,5500,0.00153072970349
138,Robert_Woods,BUF,PHI,6.91744689654,3.29328138482,5100,0.00135636213658
139,Kendall_Wright,TEN,NYJ,16.0479072912,4.69981525326,5200,0.00308613601754
